MSGH,TOTAL,PROG,LOGIN
100,1000,08:00,modtogo
101,500,08:00,modtogo11
102,4005,08:00,modtogo15
103,600,08:00,togo13
104,13000,08:00,togo14
105,10200,08:00,togo15
106,7900,08:00,togo02
107,89978,08:00,togo08
108,10000,08:00,modtogo07
109,7969,08:00,modtogo17
109,791023,08:00,modotogo19
109,7900,08:00,modoretogo19
